year,version,area_ha,tipo_region,nome_region,sigla_region
2023,collection_10_1,4.771754016113282,estado,Rio Grande do Sul,RS
2024,collection_10_1,5.884854205322266,estado,Rio Grande do Sul,RS
2018,0-4-12-spt-4,0.6175042297363281,estado,Rondônia,RO
2019,0-4-12-spt-4,16.56183480224609,estado,Rondônia,RO
2020,0-4-12-spt-4,20.086309320068366,estado,Rondônia,RO
2021,0-4-12-spt-4,24.76352144775392,estado,Rondônia,RO
2022,0-4-12-spt-4,25.998180792236337,estado,Rondônia,RO
2023,0-4-12-spt-4,25.909768872070323,estado,Rondônia,RO
2024,0-4-12-spt-4,26.878413812255868,estado,Rondônia,RO
2025,0-4-12-spt-4,30.670709576416048,estado,Rondônia,RO
2019,collection_10_1,1.117665380859375,estado,Santa Catarina,SC
2020,collection_10_1,1.117665380859375,estado,Santa Catarina,SC
2021,collection_10_1,1.3571636901855466,estado,Santa Catarina,SC
2022,collection_10_1,1.5966629394531249,estado,Santa Catarina,SC
2023,collection_10_1,1.7562939208984372,estado,Santa Catarina,SC
2024,collection_10_1,3.7516761352539056,estado,Santa Catarina,SC
2017,0-4-12-spt-4,127.39780136718753,estado,São Paulo,SP
2018,0-4-12-spt-4,507.7745662048329,estado,São Paulo,SP
2019,0-4-12-spt-4,631.6475432739182,estado,São Paulo,SP
2020,0-4-12-spt-4,643.3383206664954,estado,São Paulo,SP
2021,0-4-12-spt-4,1076.2231973266485,estado,São Paulo,SP
2022,0-4-12-spt-4,1207.2949376342656,estado,São Paulo,SP
2023,0-4-12-spt-4,1647.8067934081882,estado,São Paulo,SP
2024,0-4-12-spt-4,2028.6284937621904,estado,São Paulo,SP
2025,0-4-12-spt-4,2077.4547718444683,estado,São Paulo,SP
2018,0-4-12-spt-4,12.34702275390625,estado,Tocantins,TO
2019,0-4-12-spt-4,12.34702275390625,estado,Tocantins,TO
2020,0-4-12-spt-4,12.43521546020508,estado,Tocantins,TO
2021,0-4-12-spt-4,28.486423272705103,estado,Tocantins,TO
2022,0-4-12-spt-4,28.75100322265628,estado,Tocantins,TO
2023,0-4-12-spt-4,29.103777978515645,estado,Tocantins,TO
2024,0-4-12-spt-4,39.334216241455145,estado,Tocantins,TO
2025,0-4-12-spt-4,42.86216517944342,estado,Tocantins,TO
2016,0-4-12-spt-4,1123.3486173584013,pais,Brasil,BR
2017,0-4-12-spt-4,2327.989343054194,pais,Brasil,BR
2018,0-4-12-spt-4,4776.045729479967,pais,Brasil,BR
2019,0-4-12-spt-4,6661.18847070311,pais,Brasil,BR
2020,0-4-12-spt-4,7537.182891363512,pais,Brasil,BR
2021,0-4-12-spt-4,10899.019093627932,pais,Brasil,BR
2022,0-4-12-spt-4,18408.076642462063,pais,Brasil,BR
2023,0-4-12-spt-4,27829.06021622913,pais,Brasil,BR
2024,0-4-12-spt-4,37641.325533794974,pais,Brasil,BR
